Q00001,A00005,"I like nonsense. It wakes up the brain cells."
Q00002,A00001,"The trouble with having an open mind of course is that people will insist on coming along and trying to put things in it."
Q00003,A00002,"For my part I know nothing with any certainty, but the sight of the stars makes me dream."
Q00004,A00004,"There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle."
Q00005,A00004,"The important thing is to not stop questioning."
Q00006,A00003,"Books are a uniquely portable magic."Q00007,A00001,"Evil begins when you begin to treat people as things."
Q00007,A00001,"Evil begins when you begin to treat people as things."
